Institute ID,Name,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),City,State,Score,Rank
IR-O-U-0311,"Krishna Institute of Medical Sciences Deemed University, KaradMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)64.6914.6360.2758.5024.39",64.69,14.63,60.27,58.5,24.39,Karad,Maharashtra,44.14,73
TLR (100),RPC (100),,,,,,,,,
64.69,14.63,,,,,,,,,
IR-O-U-0555,Graphic Era UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)57.0512.5561.9867.6237.70,57.05,12.55,61.98,67.62,37.7,Dehradun,Uttarakhand,43.82,74
TLR (100),RPC (100),,,,,,,,,
57.05,12.55,,,,,,,,,
IR-O-U-0239,NITTEMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)62.4910.3661.4767.9527.01,62.49,10.36,61.47,67.95,27.01,Mangaluru,Karnataka,43.64,75
TLR (100),RPC (100),,,,,,,,,
62.49,10.36,,,,,,,,,
IR-O-I-1361,Bharati VidyapeethMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)57.4711.0567.9556.1137.93,57.47,11.05,67.95,56.11,37.93,Pune,Maharashtra,43.54,76
TLR (100),RPC (100),,,,,,,,,
57.47,11.05,,,,,,,,,
IR-O-U-0099,Guru Gobind Singh Indraprastha UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)50.6126.0267.3552.6316.72,50.61,26.02,67.35,52.63,16.72,New Delhi,Delhi,43.39,77
TLR (100),RPC (100),,,,,,,,,
50.61,26.02,,,,,,,,,
IR-O-U-0345,Mizoram UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)55.8614.6573.5253.5820.28,55.86,14.65,73.52,53.58,20.28,Aizawl,Mizoram,43.24,78
TLR (100),RPC (100),,,,,,,,,
55.86,14.65,,,,,,,,,
IR-O-U-0223,"Jain University, BangaloreMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)46.6714.6176.5762.1733.01",46.67,14.61,76.57,62.17,33.01,Bengluru,Karnataka,43.21,79
TLR (100),RPC (100),,,,,,,,,
46.67,14.61,,,,,,,,,
IR-O-U-0464,"Manonmaniam Sundaranar University, TirunelveliMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.9521.4161.7250.4520.28",56.95,21.41,61.72,50.45,20.28,Tirunelveli,Tamil Nadu,42.92,80
TLR (100),RPC (100),,,,,,,,,
56.95,21.41,,,,,,,,,
